First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt
Dustin,Neace,The Beast,"5' 9\"",145 lbs.,--,,25.0,21.0,1.0,
Josh,Neal,,"6' 0\"",185 lbs.,--,,5.0,11.0,0.0,
Joe,Neal,Nine Lives,"5' 6\"",135 lbs.,--,,6.0,2.0,0.0,
Geoff,Neal,Handz of Steel,"5' 11\"",170 lbs.,"75.0\"",Southpaw,15.0,5.0,0.0,
Stanislav,Nedkov,Stucky,"5' 11\"",205 lbs.,"71.0\"",Orthodox,12.0,2.0,0.0,
Josh,Neer,The Dentist,"5' 11\"",170 lbs.,"72.0\"",Orthodox,36.0,16.0,1.0,
Nicolae,Negumereanu,,"6' 0\"",205 lbs.,"78.0\"",Orthodox,13.0,2.0,0.0,
Steve,Nelmark,The Sandman,"6' 0\"",240 lbs.,--,Orthodox,2.0,1.0,0.0,
Shane,Nelson,Sugar,"5' 9\"",155 lbs.,"70.0\"",Southpaw,16.0,7.0,0.0,
Roy,Nelson,Big Country,"6' 0\"",263 lbs.,"73.0\"",Orthodox,22.0,14.0,0.0,
Gunnar,Nelson,Gunni,"5' 11\"",170 lbs.,"72.0\"",Switch,19.0,5.0,1.0,
Kyle,Nelson,The Monster,"5' 11\"",145 lbs.,"71.0\"",Switch,14.0,5.0,1.0,
Lissette,Neri,,"5' 2\"",145 lbs.,--,,6.0,4.0,0.0,
Mario,Neto,Sukata,"6' 0\"",229 lbs.,--,Orthodox,13.0,5.0,0.0,
Antonio Braga,Neto,,"6' 3\"",185 lbs.,"77.0\"",Orthodox,9.0,3.0,0.0,
Eduardo,Neves,Bebezao,"6' 2\"",265 lbs.,"78.0\"",Orthodox,5.0,1.0,0.0,
Julio Cesar,Neves Jr.,Morceguinho,"5' 8\"",145 lbs.,--,,33.0,1.0,0.0,
Nick,Newell,Notorious,"5' 10\"",155 lbs.,--,Southpaw,14.0,2.0,0.0,
Journey,Newson,,"5' 5\"",135 lbs.,"67.0\"",Orthodox,10.0,5.0,0.0,
Jeff,Newton,,"6' 2\"",205 lbs.,--,Sideways,4.0,2.0,0.0,
Carlos,Newton,The Ronin,"5' 9\"",170 lbs.,--,Orthodox,16.0,14.0,0.0,
Emanuel,Newton,The Hardcore Kid,"6' 1\"",205 lbs.,--,,26.0,12.0,1.0,
Francis,Ngannou,The Predator,"6' 4\"",250 lbs.,"83.0\"",Orthodox,17.0,3.0,0.0,
Ben,Nguyen,Ten,"5' 5\"",125 lbs.,"65.0\"",Switch,16.0,8.0,0.0,
Steven,Nguyen,The Ninja,"5' 11\"",145 lbs.,"73.0\"",Switch,8.0,1.0,0.0,
Alex,Nicholson,The Spartan,"6' 4\"",185 lbs.,"77.0\"",Orthodox,7.0,4.0,0.0,
Bo,Nickal,,"6' 1\"",185 lbs.,"76.0\"",Southpaw,5.0,0.0,0.0,
Mike,Nickels,,"6' 4\"",205 lbs.,--,Orthodox,9.0,5.0,0.0,
Matheus,Nicolau,,"5' 6\"",125 lbs.,"66.0\"",Orthodox,19.0,4.0,1.0,
Jaimelene,Nievera,Queenie,"5' 5\"",125 lbs.,--,Orthodox,7.0,4.0,0.0,
Khomkrit,Niimi,The Bumblebee,"5' 2\"",125 lbs.,--,,6.0,10.0,0.0,
Tom,Niinimaki,Stoneface,"5' 9\"",145 lbs.,"69.0\"",Orthodox,22.0,8.0,1.0,
Ramsey,Nijem,,"5' 11\"",155 lbs.,"75.0\"",Orthodox,9.0,6.0,0.0,
Hans,Nijman,,"6' 0\"",250 lbs.,--,Switch,9.0,7.0,0.0,
Fedor,Nikolov,,--,--,--,,0.0,0.0,0.0,
Jack,Nilson,,--,--,--,,2.0,6.0,0.0,
Mats,Nilsson,,"6' 1\"",170 lbs.,--,Orthodox,11.0,4.0,1.0,
Guangyou,Ning,Smasher,"5' 4\"",145 lbs.,"64.0\"",Southpaw,5.0,4.0,1.0,
Soichi,Nishida,,"5' 11\"",320 lbs.,--,Orthodox,5.0,10.0,1.0,
Yosuke,Nishijima,,"5' 9\"",205 lbs.,--,Orthodox,0.0,5.0,0.0,
Yamato,Nishikawa,,"5' 7\"",155 lbs.,--,Orthodox,21.0,3.0,6.0,
Akiyo,Nishiura,Wicky Akiyo,"5' 8\"",139 lbs.,--,Southpaw,13.0,8.0,1.0,
Anthony,Njokuani,The Assassin,"6' 1\"",155 lbs.,"75.0\"",Orthodox,16.0,12.0,0.0,
Chidi,Njokuani,Bang Bang,"6' 3\"",185 lbs.,"80.0\"",Orthodox,22.0,9.0,0.0,
Derrick,Noble,The Eraser,"5' 9\"",170 lbs.,--,Southpaw,27.0,15.0,1.0,
Kyle,Noblitt,,"6' 2\"",243 lbs.,--,,11.0,2.0,0.0,
Pedro,Nobre,The Rock,"5' 5\"",135 lbs.,--,,18.0,4.0,2.0,
Jacob,Noe,Psycho,--,205 lbs.,--,,3.0,11.0,0.0,
Antonio Rodrigo,Nogueira,Minotauro,"6' 3\"",240 lbs.,"77.0\"",Orthodox,34.0,10.0,1.0,
Rogerio,Nogueira,Minotouro,"6' 2\"",205 lbs.,"75.0\"",Southpaw,23.0,10.0,0.0,
Alexandre Franca,Nogueira,Pequeno,"5' 7\"",145 lbs.,--,Orthodox,18.0,6.0,3.0,
Talita,Nogueira,Treta,"5' 10\"",145 lbs.,--,,6.0,0.0,0.0,
Kyle,Noke,,"6' 1\"",170 lbs.,"76.0\"",Southpaw,22.0,10.0,1.0,
Tom,Nolan,Big Train,--,155 lbs.,--,,5.0,0.0,0.0,
Nick,Nolte,,"6' 0\"",170 lbs.,--,,5.0,4.0,0.0,
KJ,Noons,King,"5' 10\"",155 lbs.,"70.0\"",Orthodox,13.0,9.0,0.0,
Sage,Northcutt,Super,"6' 0\"",170 lbs.,"71.0\"",Orthodox,11.0,2.0,0.0,
Jan,Nortje,The Giant,"6' 1\"",310 lbs.,--,Southpaw,2.0,6.0,0.0,
Scott,Norton,Hollywood,"5' 10\"",170 lbs.,--,Orthodox,7.0,1.0,0.0,
Shohei,Nose,,"5' 6\"",135 lbs.,"68.0\"",Switch,10.0,4.0,2.0,
Jonatas,Novaes,,"5' 11\"",170 lbs.,--,,13.0,5.0,0.0,
Jason,Novelli,Flipside,"6' 0\"",155 lbs.,--,Orthodox,11.0,3.0,1.0,
Phillipe,Nover,The Filipino Assassin,"5' 9\"",145 lbs.,"72.0\"",Orthodox,11.0,8.0,1.0,
Taiyilake,Nueraji,Super Saiyan,"6' 2\"",170 lbs.,"75.0\"",Southpaw,9.0,1.0,0.0,
Shayilan,Nuerdanbieke,Wolverine,"5' 8\"",145 lbs.,"69.0\"",Orthodox,39.0,11.0,0.0,
Diego,Nunes,The Gun,"5' 6\"",145 lbs.,"67.0\"",Orthodox,19.0,7.0,0.0,
Amanda,Nunes,The Lioness,"5' 8\"",135 lbs.,"69.0\"",Orthodox,23.0,5.0,0.0,
Nina,Nunes,,"5' 5\"",125 lbs.,"64.0\"",Orthodox,11.0,7.0,0.0,
Istela,Nunes,,"5' 4\"",115 lbs.,"66.0\"",Orthodox,6.0,5.0,0.0,
Josiane,Nunes,Josi,"5' 2\"",145 lbs.,"67.0\"",Southpaw,10.0,1.0,0.0,
Khabib,Nurmagomedov,The Eagle,"5' 10\"",155 lbs.,"70.0\"",Orthodox,29.0,0.0,0.0,
Said,Nurmagomedov,,"5' 8\"",135 lbs.,"70.0\"",Orthodox,17.0,3.0,0.0,
Abubakar,Nurmagomedov,,"5' 11\"",170 lbs.,"72.0\"",Orthodox,17.0,4.0,1.0,
Umar,Nurmagomedov,,"5' 8\"",135 lbs.,"69.0\"",Orthodox,16.0,0.0,0.0,
Kennedy,Nzechukwu,African Savage,"6' 5\"",205 lbs.,"83.0\"",Southpaw,12.0,3.0,0.0,
Jake,O'Brien,Irish,"6' 3\"",205 lbs.,"76.0\"",Orthodox,15.0,4.0,0.0,
TJ,O'Brien,The Spider,"6' 2\"",155 lbs.,--,Orthodox,20.0,8.0,0.0,
Sean,O'Connell,The Real OC,"6' 1\"",205 lbs.,"74.0\"",Orthodox,17.0,9.0,0.0,
Dan,O'Connor,Johnny Irish,"5' 4\"",115 lbs.,--,,6.0,6.0,0.0,
Sean,O'Haire,,"6' 5\"",270 lbs.,--,Orthodox,4.0,2.0,0.0,
Sean,O'Malley,Sugar,"5' 11\"",135 lbs.,"72.0\"",Switch,16.0,1.0,0.0,
Jeremiah,O'Neal,,"5' 8\"",260 lbs.,--,,13.0,25.0,0.0,
Chuck,O'Neil,Cold Steel,"6' 2\"",170 lbs.,--,,17.0,9.0,0.0,
Casey,O'Neill,King,"5' 6\"",125 lbs.,"69.0\"",Orthodox,9.0,1.0,0.0,
Brendan,O'Reilly,Badger,"5' 7\"",170 lbs.,"69.0\"",Orthodox,6.0,3.0,0.0,
Takahiro,Oba,,"5' 8\"",200 lbs.,--,Southpaw,5.0,7.0,1.0,
Nobuhiro,Obiya,,"5' 8\"",145 lbs.,--,Orthodox,12.0,5.0,1.0,
Christian,Ocon,,"5' 8\"",135 lbs.,"69.0\"",Orthodox,2.0,1.0,0.0,
Richard,Odoms,The Black Eagle,"6' 5\"",265 lbs.,--,Orthodox,13.0,3.0,0.0,
Volkan,Oezdemir,No Time,"6' 2\"",205 lbs.,"75.0\"",Orthodox,18.0,7.0,0.0,
Naoya,Ogawa,,"6' 4\"",255 lbs.,--,Orthodox,7.0,2.0,0.0,
Trey,Ogden,Samurai Ghost,"5' 11\"",155 lbs.,"72.0\"",Orthodox,16.0,6.0,0.0,
Andy,Ogle,The Little Axe,"5' 8\"",145 lbs.,"69.0\"",Orthodox,9.0,6.0,0.0,
Ho Taek,Oh,Spider,--,155 lbs.,--,,7.0,2.0,1.0,
Michiyoshi,Ohara,,"5' 10\"",205 lbs.,--,Orthodox,0.0,2.0,0.0,
Koji,Oishi,,"5' 8\"",170 lbs.,--,Orthodox,25.0,10.0,10.0,
Takayuki,Okada,Giant Ochiai,"6' 1\"",290 lbs.,--,Orthodox,3.0,3.0,2.0,
Yushin,Okami,Thunder,"6' 2\"",170 lbs.,"75.0\"",Southpaw,34.0,12.0,0.0,
JJ,Okanovich,The Bosnian Bomber,"5' 11\"",155 lbs.,"76.0\"",Orthodox,7.0,1.0,0.0,
Bolaji,Oki,The Zulu Warrior,--,155 lbs.,--,,7.0,1.0,0.0,
Kazuki,Okubo,,"5' 11\"",175 lbs.,--,Orthodox,7.0,9.0,0.0,
Masakatsu,Okuda,,--,--,--,,8.0,5.0,0.0,
Aleksei,Oleinik,The Boa Constrictor,"6' 2\"",240 lbs.,"80.0\"",Orthodox,60.0,17.0,1.0,
Michal,Oleksiejczuk,Hussar,"6' 0\"",185 lbs.,"74.0\"",Southpaw,18.0,6.0,0.0,
Rafaello,Oliveira,Tractor,"5' 8\"",155 lbs.,"71.0\"",Orthodox,17.0,8.0,0.0,
Charles,Oliveira,Do Bronxs,"5' 10\"",155 lbs.,"74.0\"",Orthodox,34.0,9.0,0.0,
Jorge,Oliveira,,"6' 1\"",205 lbs.,--,,5.0,3.0,1.0,
Ednaldo,Oliveira,Lula,"6' 5\"",205 lbs.,--,Orthodox,17.0,3.0,1.0,
Alex,Oliveira,Cowboy,"5' 11\"",170 lbs.,"76.0\"",Orthodox,22.0,12.0,1.0,
Maria,Oliveira,Spider-Girl,"5' 6\"",115 lbs.,"69.0\"",Orthodox,13.0,7.0,0.0,
Bruno,Oliveira,,"6' 4\"",205 lbs.,"80.0\"",Orthodox,8.0,2.0,0.0,
Saimon,Oliveira,,"5' 4\"",135 lbs.,"72.0\"",Orthodox,18.0,5.0,0.0,
Wendell,Oliveira Marques,The Machine,"5' 10\"",170 lbs.,--,Orthodox,29.0,10.0,0.0,
Felipe,Olivieri,,"5' 9\"",155 lbs.,--,Orthodox,14.0,5.0,0.0,
Andy,Ologun,,"6' 0\"",154 lbs.,--,Orthodox,3.0,1.0,0.0,
Shana,Olsen,Rock Solid,"5' 7\"",145 lbs.,--,,5.0,2.0,0.0,
Casey,Olson,The Underdog,"5' 7\"",145 lbs.,--,Orthodox,14.0,5.0,0.0,
Dennis,Olson,,"6' 0\"",170 lbs.,--,,14.0,11.0,0.0,
Cameron,Olson,Cap'n Crunch,"6' 1\"",205 lbs.,"75.0\"",Orthodox,7.0,3.0,0.0,
Gadzhi,Omargadzhiev,,"6' 1\"",170 lbs.,"71.0\"",Switch,13.0,2.0,0.0,
Alan,Omer,,"5' 10\"",145 lbs.,--,Orthodox,20.0,5.0,0.0,
Daniel,Omielanczuk,,"6' 0\"",247 lbs.,"74.0\"",Southpaw,19.0,8.0,1.0,
Michihiro,Omigawa,,"5' 6\"",145 lbs.,"68.0\"",Orthodox,17.0,14.0,1.0,
David,Onama,,"5' 11\"",145 lbs.,"74.0\"",Orthodox,11.0,2.0,0.0,
Charlie,Ontiveros,American Bad Boy,"6' 2\"",155 lbs.,"74.0\"",Switch,11.0,9.0,0.0,
Chibwikem,Onyenegecha,,"6' 3\"",185 lbs.,--,Orthodox,5.0,0.0,0.0,
Sam,Oropeza,,"6' 2\"",170 lbs.,--,,13.0,3.0,0.0,
Brian,Ortega,T-City,"5' 8\"",145 lbs.,"69.0\"",Switch,15.0,3.0,0.0,
Tito,Ortiz,The People's Champ,"6' 3\"",205 lbs.,"74.0\"",Orthodox,19.0,12.0,1.0,
Jorge,Ortiz,The Naked Man,"6' 0\"",185 lbs.,--,Orthodox,18.0,9.0,1.0,
Dustin,Ortiz,,"5' 5\"",125 lbs.,"65.0\"",Orthodox,19.0,8.0,0.0,
Kenji,Osawa,,"5' 7\"",135 lbs.,"66.0\"",Orthodox,20.0,11.0,2.0,
Ode,Osbourne,The Jamaican Sensation,"5' 7\"",125 lbs.,"73.0\"",Southpaw,12.0,5.0,0.0,
Kurt,Osiander,,--,185 lbs.,--,,4.0,1.0,0.0,
Nick,Osipczak,,"6' 2\"",170 lbs.,"76.0\"",Orthodox,6.0,3.0,0.0,
Nissen,Osterneck,,"6' 2\"",185 lbs.,--,Orthodox,12.0,4.0,0.0,
Rachael,Ostovich,,"5' 3\"",125 lbs.,"62.0\"",Orthodox,4.0,6.0,0.0,
Pedro,Otavio,Te Pedro,"6' 3\"",245 lbs.,--,Orthodox,19.0,8.0,0.0,
Alexander,Otsuka,The Diet Butcher,"6' 1\"",205 lbs.,--,Orthodox,5.0,13.0,0.0,
Takafumi,Otsuka,,"5' 6\"",139 lbs.,--,Orthodox,22.0,13.0,2.0,
Zak,Ottow,The Barbarian,"5' 11\"",170 lbs.,"72.0\"",Orthodox,17.0,7.0,0.0,
Artur,Oumakhanov,,"5' 7\"",154 lbs.,--,Orthodox,9.0,6.0,0.0,
Sidney,Outlaw,,"5' 8\"",170 lbs.,"74.0\"",Orthodox,8.0,4.0,0.0,
Alistair,Overeem,The Demolition Man,"6' 4\"",265 lbs.,"80.0\"",Orthodox,47.0,19.0,0.0,
Valentijn,Overeem,,"6' 3\"",230 lbs.,--,Orthodox,30.0,32.0,0.0,
Craig,Oxley,,"5' 9\"",155 lbs.,--,,0.0,3.0,0.0,
Shungo,Oyama,,"5' 11\"",185 lbs.,--,Southpaw,14.0,19.0,0.0,
Alptekin,Ozkilic,The Turkish Delight,"5' 5\"",125 lbs.,"65.0\"",Orthodox,9.0,5.0,0.0,
Raquel,Pa'aluhi,Rocky,"5' 7\"",135 lbs.,--,,6.0,5.0,0.0,
Nick,Pace,,"5' 7\"",135 lbs.,"68.0\"",Orthodox,8.0,3.0,0.0,
Larissa,Pacheco,,"5' 7\"",135 lbs.,--,Orthodox,10.0,2.0,0.0,
Angel,Pacheco,,--,145 lbs.,--,,7.0,1.0,0.0,
Teemu,Packalen,Pacu,"6' 1\"",155 lbs.,"75.0\"",Orthodox,8.0,3.0,0.0,
George,Pacurariu,Constantine,"5' 7\"",135 lbs.,--,,10.0,5.0,0.0,
Cyrillo,Padilha,,"5' 11\"",155 lbs.,--,,3.0,3.0,0.0,
Gary,Padilla,,"5' 11\"",205 lbs.,--,,12.0,6.0,0.0,
Fernando,Padilla,El Valiente,"6' 1\"",145 lbs.,"76.0\"",Orthodox,15.0,4.0,0.0,
Damacio,Page,The Angel of Death,"5' 6\"",135 lbs.,"66.0\"",Orthodox,19.0,10.0,0.0,
Michael,Page,Venom,"6' 2\"",170 lbs.,--,,12.0,0.0,0.0,
Dustin,Pague,The Disciple,"5' 9\"",135 lbs.,"74.0\"",Orthodox,12.0,11.0,0.0,
Josh,Paiva,,"5' 6\"",125 lbs.,--,,8.0,2.0,0.0,
Raulian,Paiva,,"5' 8\"",135 lbs.,"69.0\"",Orthodox,21.0,5.0,0.0,
Dinis,Paiva Jr.,Sweetbread,"5' 9\"",145 lbs.,"71.0\"",Southpaw,13.0,8.0,0.0,
Fredson,Paixao,,"5' 6\"",145 lbs.,"66.0\"",Orthodox,10.0,5.0,0.0,
Luis,Pajuelo,Corazon de Leon,--,145 lbs.,--,,7.0,1.0,0.0,
Jose,Palacios,,"5' 9\"",145 lbs.,--,Orthodox,3.0,2.0,0.0,
Ricky,Palacios,El Gallero,"5' 6\"",145 lbs.,--,Orthodox,10.0,1.0,0.0,
Bart,Palaszewski,Bartimus,"5' 9\"",145 lbs.,"70.0\"",Orthodox,36.0,17.0,0.0,
Sasha,Palatnikov,,"6' 1\"",170 lbs.,"72.0\"",Switch,6.0,4.0,0.0,
Soa,Palelei,The Hulk,"6' 4\"",265 lbs.,"81.0\"",Orthodox,22.0,5.0,0.0,
Rousimar,Palhares,Toquinho,"5' 8\"",170 lbs.,"71.0\"",Orthodox,19.0,8.0,0.0,
Tulio,Palhares,,--,180 lbs.,--,,2.0,16.0,0.0,
Stephen,Palling,Bozo,"5' 4\"",143 lbs.,--,,11.0,7.0,1.0,
Eduardo,Pamplona,,"5' 11\"",170 lbs.,--,,16.0,4.0,0.0,
Alexandre,Pantoja,The Cannibal,"5' 5\"",125 lbs.,"67.0\"",Orthodox,26.0,5.0,0.0,
Jared,Papazian,The Jackhammer,"5' 8\"",135 lbs.,"67.0\"",Southpaw,20.0,13.0,0.0,
Kathryn,Paprocki,,"5' 3\"",115 lbs.,"63.0\"",Orthodox,3.0,2.0,0.0,
Joe,Pardo,,"6' 1\"",210 lbs.,--,Southpaw,4.0,6.0,0.0,
Bryan,Pardoe,Pain Inducer,"6' 1\"",205 lbs.,--,Orthodox,13.0,16.0,0.0,
Remco,Pardoel,Grizzly,"6' 3\"",260 lbs.,--,Southpaw,9.0,6.0,1.0,
Ido,Pariente,,"5' 8\"",155 lbs.,--,Orthodox,13.0,6.0,0.0,
Josh,Parisian,,"6' 4\"",265 lbs.,"79.0\"",Orthodox,15.0,6.0,0.0,
Karo,Parisyan,The Heat,"5' 10\"",170 lbs.,"72.0\"",Orthodox,24.0,11.0,0.0,
Won Sik,Park,Parky,"5' 11\"",154 lbs.,--,Orthodox,11.0,7.0,1.0,
JunYong,Park,The Iron Turtle,"5' 10\"",185 lbs.,"73.0\"",Orthodox,17.0,5.0,0.0,
Harvey,Park,Fightbot,"6' 0\"",155 lbs.,"70.0\"",Orthodox,12.0,3.0,0.0,
HyunSung,Park,Peace of Mind,"5' 7\"",125 lbs.,"66.0\"",Orthodox,8.0,0.0,0.0,
Norman,Parke,Stormin',"5' 11\"",155 lbs.,"70.0\"",Southpaw,23.0,6.0,1.0,
Ryan,Parker,,"6' 3\"",235 lbs.,--,Southpaw,0.0,1.0,0.0,
Larry,Parker,,"5' 11\"",205 lbs.,--,Orthodox,13.0,6.0,1.0,
Tyra,Parker,,"5' 5\"",115 lbs.,--,Orthodox,4.0,5.0,0.0,
Mick,Parkin,,"6' 4\"",265 lbs.,"79.0\"",Orthodox,7.0,0.0,0.0,
Willie,Parks,Slick,"5' 10\"",185 lbs.,--,,5.0,2.0,0.0,
Jordan,Parsons,Pretty Boy,"5' 9\"",145 lbs.,--,,11.0,2.0,0.0,
Preston,Parsons,Pressure,"5' 11\"",170 lbs.,"71.0\"",Orthodox,10.0,4.0,0.0,
Jonny,Parsons,The Sluggernaut,"5' 9\"",170 lbs.,"69.0\"",Orthodox,9.0,2.0,0.0,
Onassis,Parungao,,"5' 11\"",200 lbs.,--,,2.0,1.0,0.0,
Ramona,Pascual,,"5' 7\"",135 lbs.,"66.0\"",Southpaw,6.0,5.0,0.0,
Billy,Pasulatan,,"5' 5\"",125 lbs.,"66.0\"",Switch,10.0,3.0,0.0,
Jhonoven,Pati,The Samoan Savage,"6' 1\"",185 lbs.,"75.0\"",Switch,6.0,4.0,0.0,
Windri,Patilima,,"5' 6\"",155 lbs.,"71.0\"",Southpaw,8.0,1.0,0.0,
Jorge,Patino,Macaco,"5' 8\"",170 lbs.,--,Orthodox,38.0,19.0,2.0,
Russell,Patrick,,"5' 9\"",145 lbs.,--,,6.0,4.0,0.0,
Claude,Patrick,The Prince,"5' 11\"",170 lbs.,"75.0\"",Orthodox,14.0,2.0,0.0,
Alan,Patrick,Nuguette,"5' 11\"",155 lbs.,"74.0\"",Southpaw,15.0,4.0,0.0,
Michael,Patt,,"6' 0\"",205 lbs.,--,Orthodox,12.0,4.0,0.0,
Justin,Patterson,The Tactician,"5' 10\"",170 lbs.,--,,9.0,3.0,0.0,
Sam,Patterson,,"6' 3\"",155 lbs.,"78.0\"",Orthodox,10.0,2.0,1.0,
Zac,Pauga,The Ripper,"6' 2\"",205 lbs.,"76.0\"",Orthodox,7.0,2.0,0.0,
Julio,Paulino,The Dominican Demon,"6' 0\"",170 lbs.,--,Orthodox,23.0,5.0,0.0,
Thomas,Paull,Juggernaut,"5' 7\"",155 lbs.,"67.0\"",Orthodox,11.0,4.0,0.0,
Sergei,Pavlovich,,"6' 3\"",257 lbs.,"84.0\"",Southpaw,18.0,1.0,0.0,
Pawel,Pawlak,,"6' 0\"",170 lbs.,"73.0\"",Orthodox,12.0,3.0,0.0,
Estevan,Payan,El Terrible,"5' 10\"",145 lbs.,--,Orthodox,16.0,12.0,0.0,
Sarah,Payant,Soulja,"5' 4\"",115 lbs.,--,,1.0,4.0,0.0,
Roland,Payne,,"5' 9\"",205 lbs.,--,Orthodox,0.0,1.0,0.0,
Jonathan,Pearce,JSP,"6' 0\"",145 lbs.,"71.0\"",Switch,14.0,4.0,0.0,
Joe,Pearson,The Triangular Strangler,"5' 10\"",145 lbs.,--,Orthodox,45.0,30.0,1.0,
Ross,Pearson,The Real Deal,"5' 8\"",155 lbs.,"69.0\"",Orthodox,20.0,16.0,0.0,
Andre,Pederneiras,,"5' 8\"",155 lbs.,--,Orthodox,1.0,1.0,2.0,
Carlo,Pedersoli Jr.,Semento,"5' 11\"",170 lbs.,"75.0\"",Southpaw,11.0,3.0,0.0,
Matt,Pedro,,--,--,--,,3.0,1.0,0.0,
Tyson,Pedro,,"6' 3\"",205 lbs.,"79.0\"",Orthodox,9.0,4.0,0.0,
Trevor,Peek,,"5' 9\"",155 lbs.,"70.0\"",Switch,8.0,1.0,0.0,
Willie,Peeters,,"5' 9\"",220 lbs.,--,Orthodox,9.0,10.0,1.0,
Filip,Pejic,,"5' 8\"",135 lbs.,--,Orthodox,12.0,2.0,2.0,
Kurt,Pellegrino,Batman,"5' 8\"",155 lbs.,"70.0\"",Orthodox,16.0,7.0,0.0,
Yan,Pellerin,Wild Thing,"5' 11\"",205 lbs.,--,Orthodox,11.0,13.0,0.0,
Julianna,Pena,The Venezuelan Vixen,"5' 6\"",135 lbs.,"69.0\"",Orthodox,12.0,5.0,0.0,
Luis,Pena,Violent Bob Ross,"6' 3\"",155 lbs.,"75.0\"",Southpaw,9.0,3.0,0.0,
Felipe,Pena,Preguica,--,--,--,,0.0,0.0,0.0,
