First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt
Andre,Mussi,,"6' 3\"",242 lbs.,--,Orthodox,11.0,5.0,0.0,
Magomed,Mustafaev,The Sniper,"5' 8\"",155 lbs.,"71.0\"",Orthodox,14.0,4.0,0.0,
Max,Mustaki,,"6' 0\"",155 lbs.,--,Orthodox,6.0,3.0,0.0,
Elvis,Mutapcic,The King,"6' 0\"",185 lbs.,"72.0\"",Orthodox,15.0,6.0,1.0,
Fiona,Muxlow,,"5' 4\"",145 lbs.,--,,6.0,3.0,0.0,
Ho Bae,Myeon,,"5' 11\"",168 lbs.,--,Orthodox,13.0,5.0,1.0,
Katsuhiko,Nagata,,"5' 7\"",154 lbs.,--,Southpaw,6.0,7.0,3.0,
Yuji,Nagata,,"6' 0\"",225 lbs.,--,Orthodox,0.0,2.0,0.0,
Greg,Nagy,,"6' 1\"",210 lbs.,--,Orthodox,1.0,3.0,0.0,
Logan,Nail,,--,185 lbs.,--,,1.0,1.0,0.0,
Muhammad,Naimov,Hillman,"5' 9\"",155 lbs.,"70.0\"",Orthodox,9.0,2.0,0.0,
Yukiya,Naito,,"6' 1\"",205 lbs.,--,Orthodox,15.0,6.0,2.0,
Andrews,Nakahara,,"6' 1\"",185 lbs.,--,Orthodox,5.0,4.0,2.0,
Rin,Nakai,,"5' 1\"",135 lbs.,--,Orthodox,19.0,2.0,1.0,
Kazuhiro,Nakamura,Kaz,"5' 11\"",205 lbs.,"70.0\"",Orthodox,21.0,13.0,0.0,
Keita,Nakamura,K-Taro,"5' 11\"",170 lbs.,"73.0\"",Southpaw,34.0,10.0,2.0,
Daisuke,Nakamura,,"5' 7\"",154 lbs.,--,Orthodox,28.0,19.0,1.0,
Yusaku,Nakamura,,"5' 5\"",145 lbs.,--,,14.0,4.0,1.0,
Rinya,Nakamura,Hybrid,"5' 7\"",135 lbs.,"68.0\"",Southpaw,7.0,0.0,0.0,
Jutaro,Nakao,,"5' 9\"",170 lbs.,--,Southpaw,25.0,19.0,4.0,
Yoshihiro,Nakao,Kiss,"6' 0\"",220 lbs.,--,Southpaw,9.0,3.0,0.0,
Yui Chul,Nam,The Korean Bulldozer,"5' 9\"",145 lbs.,--,Orthodox,18.0,8.0,1.0,
Tyson,Nam,,"5' 7\"",125 lbs.,"68.0\"",Orthodox,21.0,14.0,1.0,
Rose,Namajunas,Thug,"5' 5\"",115 lbs.,"65.0\"",Orthodox,12.0,5.0,0.0,
Yasuhito,Namekawa,,"5' 9\"",205 lbs.,--,Orthodox,25.0,16.0,4.0,
Nad,Narimani,Smiler,"5' 8\"",145 lbs.,"70.0\"",Orthodox,12.0,4.0,0.0,
Roger,Narvaez,Silverback,"6' 3\"",185 lbs.,--,Southpaw,8.0,3.0,0.0,
Fabio,Nascimento,Negao,"5' 10\"",185 lbs.,--,Orthodox,11.0,6.0,0.0,
Allan,Nascimento,Puro Osso,"5' 8\"",125 lbs.,"69.0\"",Orthodox,20.0,6.0,0.0,
Rodrigo,Nascimento,Ze Colmeia,"6' 2\"",246 lbs.,"80.0\"",Orthodox,10.0,1.0,0.0,
Bobby,Nash,,"6' 0\"",170 lbs.,"74.0\"",Orthodox,8.0,4.0,0.0,
Reza,Nasri,,"5' 11\"",205 lbs.,--,Orthodox,0.0,1.0,0.0,
Nasrudin,Nasrudinov,,"6' 0\"",205 lbs.,"71.0\"",Orthodox,9.0,1.0,0.0,
Pawel,Nastula,,"6' 0\"",230 lbs.,--,Southpaw,5.0,6.0,0.0,
Rafael,Natal,Sapo,"6' 0\"",185 lbs.,"77.0\"",Orthodox,21.0,9.0,1.0,
Kevin,Natividad,Quicksand,"5' 6\"",135 lbs.,"70.0\"",Orthodox,9.0,4.0,0.0,
Ismail,Naurdiev,The Austrian Wonderboy,"5' 10\"",170 lbs.,"74.0\"",Orthodox,19.0,4.0,0.0,
Danny,Navarro,,"5' 10\"",155 lbs.,--,,17.0,7.0,0.0,
Marcio,Navarro,The Locomotive,"6' 0\"",155 lbs.,--,,14.0,14.0,0.0,
Tafon,Nchukwi,Da Don,"6' 0\"",185 lbs.,"77.0\"",Orthodox,6.0,3.0,0.0,
